,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9780439785969,eng,652,2095690,27591,9/16/2006,Scholastic Inc.
1,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9780439358071,eng,870,2153167,29221,9/1/2004,Scholastic Inc.
2,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9780439554893,eng,352,6333,244,11/1/2003,Scholastic
3,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484,eng,435,2339585,36325,5/1/2004,Scholastic Inc.
4,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,439682584,9780439682589,eng,2690,41428,164,9/13/2004,Scholastic
5,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9780976540601,eng,152,19,1,4/26/2005,Nimble Books
6,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9780439827607,eng,3342,28242,808,9/12/2005,Scholastic
7,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9780517226957,eng,815,3628,254,11/1/2005,Gramercy Books
8,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9780345453747,eng,815,249558,4080,4/30/2002,Del Rey Books
9,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4930,460,8/3/2004,Crown
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,9780739322208,eng,6,1266,253,3/23/2005,Random House Audio
11,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9780517149256,eng,815,2877,195,1/17/1996,Wings Books
12,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,248558,9396,9/14/2004,Broadway Books
13,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9780767915069,eng,55,7270,499,12/3/2002,Broadway Books
14,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9780767910439,eng,256,2088,131,9/14/2004,Broadway Books
15,In a Sunburned Country,Bill Bryson,4.07,767903862,9780767903868,eng,335,72451,4245,5/15/2001,Broadway Books
16,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,49240,2211,6/28/2000,Broadway Books
17,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780060920081,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks
18,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9780380713806,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks
19,Notes from a Small Island,Bill Bryson,3.91,380727501,9780380727506,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks
20,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9780380715435,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks
21,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9780345538376,eng,1728,101233,1550,9/25/2012,Ballantine Books
22,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9780618517657,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt
23,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9780618346257,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt
24,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,9780618260584,eng,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt
25,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt
